,word,lang
1346,harrotasun,eu
1347,basamortu,eu
1348,iturri,eu
1349,poz,eu
1350,tarta,eu
1351,kide,eu
1352,existitu,eu
1353,galera,eu
1354,txokolate,eu
1355,arreta,eu
1356,adibide,eu
1357,erosketak,eu
1358,koadrila,eu
1359,ekaitz,eu
1360,bainatu,eu
1361,zilar,eu
1362,abisu,eu
1363,lizentzia,eu
1364,laguntzailea,eu
1365,ikasgai,eu
1366,aitona,eu
1367,arratoi,eu
1368,erosketa,eu
1369,kalte,eu
1370,askatasun,eu
1371,jaka,eu
1372,izualdi,eu
1373,herri,eu
1374,hori,eu
1375,urdail,eu
1376,igogailu,eu
1377,eguraldi,eu
1378,zarata,eu
1379,zurrupatu,eu
1380,poltsiko,eu
1381,gaztetxo,eu
1382,adostu,eu
1383,merkatu,eu
1384,gainean,eu
1385,indar,eu
1386,esanahi,eu
1387,justizia,eu
1388,guzti,eu
1389,sake,eu
1390,xede,eu
1391,ikuspegi,eu
1392,kanpai,eu
1393,printzesa,eu
1394,bero,eu
1395,osasun,eu
1396,berdinketa,eu
1397,deabru,eu
1398,iritzi,eu
1399,beroki,eu
1400,pentsu,eu
1401,arrisku,eu
1402,printze,eu
1403,konplize,eu
1404,jaun,eu
1405,praktika,eu
1406,zentro,eu
1407,arma,eu
1408,mutu,eu
1409,igerileku,eu
1410,eginkizun,eu
1411,trikimailu,eu
1412,biktima,eu
1413,aholkua,eu
1414,bilaketa,eu
1415,izpiritu,eu
1416,epaiketa,eu
1417,botila,eu
1418,interes,eu
1419,areto,eu
1420,alkoholismo,eu
1421,bezero,eu
1422,kostu,eu
1423,izeba,eu
1424,sarraila,eu
1425,hartz,eu
1426,irribarre,eu
1427,erloju,eu
1428,prakak,eu
1429,ordenagailu,eu
1430,haize,eu
1431,mozketa,eu
1432,mendebalde,eu
1433,irakurketa,eu
1434,bikoitz,eu
1435,sarjentu,eu
1436,paziente,eu
1437,sail,eu
1438,taula,eu
1439,txapel,eu
1440,hegoalde,eu
1441,opari,eu
1442,kontaktu,eu
1443,gobernu,eu
1444,beso,eu
1445,txanda,eu
1446,urduri,eu
1447,harreman,eu
1448,gas,eu
1449,sudur,eu
1450,mesede,eu
1451,arte,eu
1452,berde,eu
1453,ostiko,eu
1454,garagardo,eu
1455,eraso,eu
1456,motel,eu
1457,buruzagi,eu
1458,zerrenda,eu
1459,plazer,eu
1460,bidaia,eu
1461,unibertsitate,eu
1462,sorpresa,eu
1463,erdi,eu
1464,orain,eu
1465,gertaera,eu
1466,arratsalde,eu
1467,min,eu
1468,lur,eu
1469,akats,eu
1470,hotel,eu
1471,paper,eu
1472,mahai,eu
1473,txosten,eu
1474,begi,eu
1475,lege,eu
1476,isil,eu
1477,feltro,eu
1478,musu,eu
1479,pelikula,eu
1480,bokazio,eu
1481,osaba,eu
1482,gizaki,eu
1483,pobre,eu
1484,tanta,eu
1485,zentzu,eu
1486,beldurtuta,eu
1487,arrantza,eu
1488,joanera,eu
1489,kafe,eu
1490,plan,eu
1491,kale,eu
1492,janari,eu
1493,herrialde,eu
1494,presa,eu
1495,artean,eu
1496,odol,eu
1497,ohe,eu
1498,gorputz,eu
1499,freskura,eu
1500,alde,eu
1501,lerro,eu
1502,itxaronaldi,eu
1503,pertsona,eu
1504,atseden,eu
1505,orduak,eu
1506,su,eu
1507,tiro,eu
1508,bildum,eu
1509,zenbaki,eu
1510,samin,eu
1511,edari,eu
1512,tratu,eu
1513,urte,eu
1514,ate,eu
1515,bakarrik,eu
1516,ireki,eu
1517,negozio,eu
1518,aitzakia,eu
1519,infernu,eu
1520,ama,eu
1521,ulertu,eu
1522,auto,eu
1523,ikastaro,eu
1524,nahiko,eu
1525,aita,eu
1526,etxe,eu
1527,izendatu,eu
1528,hobeto,eu
1529,pentsamendu,eu
1530,maitasun,eu
1531,borondate,eu
1532,eskubide,eu
